2090475901_f,668497,5163836.11,piezometer
4090470001_f,669750.29,5163933.01,piezometer
5090445401_f,672429.6,5164039.86,piezometer
5090451901_f,671897.82,5164024.69,piezometer
8090443701_f,672770.88,5164760.1,piezometer
4090440002_f,673552.5,5164967.87,piezometer
0090473201_f,669021.18,5165642.34,piezometer
1090473001_f,669062.84,5165674.4,piezometer
0090574001_f,656051.9,5166837.16,piezometer
0090542001_f,660221.81,5170035.24,piezometer
6091033701_f,648335.86,5171769.16,piezometer
2090411801_f,677045.01,5163463,piezometer
6090391401_p,680568.55,5133726.23,piezometer
9090384001_p,681237.55,5135692.22,piezometer
9090384902_p,681045.21,5135686.5,piezometer
4090384501_p,681107.74,5136460.63,piezometer
3090472001_p,669956.83,5141359.16,piezometer
0090153001_p,710557.76,5147790.69,piezometer
9090491401_p,667321.96,5148575.52,piezometer
0090571401_p,657029.05,5150493.1,piezometer
2090494401_p,666416.48,5158218.5,piezometer
5090541401_p,660345.19,5170192.95,piezometer
6090525801_p,661942.65,5170884.34,piezometer
W4804363301_,666854.56,5161662.5,piezometer
W4804253201_,667126.69,5163721.5,piezometer
W4804252101_,667479.63,5164336,piezometer
W4804251301_,667595.13,5164272.5,piezometer
W4803193301_,668398.94,5164991.5,piezometer
W4803302301_,668454.88,5163926.5,piezometer
W4803191401_,669893.63,5165568,piezometer
W4803292304_,670068.5,5164138.5,piezometer
W4803292305_,670071.94,5164223,piezometer
W4803292303_,670086.19,5163949,piezometer
W4803292302_,670315.31,5163995,piezometer
W4803292301_,670358.94,5164003.5,piezometer
W4803292401_,670447.44,5164009,piezometer
W4803332303_,671700.94,5162524.5,piezometer
W4803332302_,671713.81,5162398,piezometer
W4803333301_,671725.88,5161622.5,piezometer
W4803333302_,671729.94,5161711,piezometer
W4803332301_,671753.19,5162588.5,piezometer
W4803282301_,671771.44,5164026,piezometer
W4703042301_,671777.63,5161137.5,piezometer
W4803333201_,671788.5,5162003.5,piezometer
W4803283103_,672022.06,5163934.5,piezometer
W4703042201_,672024.25,5161544.5,piezometer
W4803283104_,672106.69,5163927,piezometer
W4803283102_,672151.44,5163932,piezometer
W4803282402_,672253.94,5164104.5,piezometer
W4803283101_,672281.81,5163923.5,piezometer
W4803334301_,672804.81,5161626.5,piezometer
W4803281101_,672816.81,5164737,piezometer
W4803334401_,673220.25,5161722.5,piezometer
W4803334402_,673279.38,5161745,piezometer
W4803273201_,673290.81,5163952,piezometer
W4803223301_,673530.75,5164989,piezometer
W4803223302_,673562.44,5164980.5,piezometer
W4803223401_,673679,5165035,piezometer
W4803342402_,673831.81,5162444,piezometer
W4803272401_,673993.13,5162067.5,piezometer
W4803343102_,674197,5162297.5,piezometer
W4803344201_,675534.25,5163674.5,piezometer
W4803263106_,675608.63,5163733.5,piezometer
W4803263104_,675609.38,5163753.5,piezometer
W4803263103_,675811.13,5165250,piezometer
W4703021201_,676122.44,5161124,piezometer
W4703021402_,676195.75,5164054.5,piezometer
W4803261404_,676495.13,5162483.5,piezometer
W4803362305_,676699.13,5162516.5,piezometer
W4803362307_,676798,5162830,piezometer
W4803362301_,676802,5162605,piezometer
W4803362303_,676803.69,5162694,piezometer
W4803362302_,676969.75,5163845.5,piezometer
W4803253101_,677038.5,5163456.5,piezometer
W4803253404_,677073.94,5163290,piezometer
W4803253401_,677077.44,5163238,piezometer
W4803362101_,677177.63,5163278,piezometer
W4803253402_,677178.75,5163301,piezometer
W4803253405_,677668.69,5162798.5,piezometer
W4803361401_,678239.44,5163703.5,piezometer
W4802303201_,678676.19,5162643.5,piezometer
W4802312401_,679614.69,5163255.5,piezometer
W4802311102_,679617.94,5162841.5,piezometer
W4802311401_,679678.13,5163279.5,piezometer
W4802322202_,680036.5,5162540,piezometer
W4802322301_,683980.38,5163952.5,piezometer
W4702151302_,684124.25,5158127.5,piezometer
W4702151301_,685753.06,5162528.5,piezometer
W4802354101_,685909,5156559.5,piezometer
W4702231401_,685927,5156402.5,piezometer
W4702231405_,686034.25,5156489,piezometer
W4702231402_,686058.63,5156306.5,piezometer
W4702234103_,686071.56,5156245.5,piezometer
W4702234102_,686097.19,5156436,piezometer
W4702231403_,687368.06,5146292,piezometer
AA457_WCRs1,674113.26,5139008.79,piezometer
AA707_WCRs1,666900.45,5156129.31,piezometer
